epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.22,0.72602,1.6874,1.00725,0.92602,0.88855,0.97785,0.78689,0.70681,0.94317,0.98864,0.000415,0.000415,0.000415
2,78.1347,0.73484,0.98785,1.00156,0.80894,0.87897,0.93078,0.74028,0.73455,0.83965,0.97842,0.000823433,0.000823433,0.000823433
3,114.272,0.73459,0.8142,1.001,0.85484,0.82143,0.87043,0.68533,0.7623,0.85071,1.0265,0.00122362,0.00122362,0.00122362
4,149.367,0.71893,0.70578,0.9967,0.92166,0.91986,0.93481,0.76785,0.68737,0.59945,0.94927,0.00121287,0.00121287,0.00121287
5,185.012,0.70459,0.64949,0.9937,0.91939,0.80328,0.88593,0.74175,0.67271,0.86154,0.95176,0.0012005,0.0012005,0.0012005
6,220.468,0.67902,0.59284,0.98229,0.95368,0.97175,0.98978,0.8277,0.64074,0.44833,0.92937,0.00118812,0.00118812,0.00118812
7,256.266,0.66469,0.56629,0.97719,0.90668,0.89667,0.91564,0.76752,0.65866,0.6672,0.93954,0.00117575,0.00117575,0.00117575
8,291.829,0.65301,0.54088,0.97193,0.94402,0.96905,0.98551,0.8284,0.62992,0.43999,0.92705,0.00116337,0.00116337,0.00116337
9,327.787,0.63938,0.52088,0.9654,0.95145,0.9562,0.98634,0.822,0.64853,0.41309,0.94118,0.001151,0.001151,0.001151
10,363.284,0.64081,0.5208,0.9656,0.97285,0.98833,0.98937,0.83357,0.6433,0.38186,0.93633,0.00113863,0.00113863,0.00113863
11,398.334,0.62821,0.50413,0.96695,0.98037,0.97959,0.9925,0.8268,0.65066,0.38747,0.95911,0.00112625,0.00112625,0.00112625
12,433.468,0.62603,0.49732,0.96287,0.98618,0.97357,0.99309,0.84025,0.61649,0.35398,0.91397,0.00111388,0.00111388,0.00111388
13,468.486,0.61613,0.48007,0.95835,0.84144,0.86028,0.83806,0.71026,0.649,0.83636,0.9538,0.0011015,0.0011015,0.0011015
14,503.467,0.60691,0.47223,0.95547,0.94468,0.97111,0.99046,0.83409,0.64095,0.39216,0.94045,0.00108913,0.00108913,0.00108913
15,538.429,0.61031,0.46874,0.9591,0.90437,0.93035,0.91828,0.76837,0.64211,0.58752,0.94181,0.00107675,0.00107675,0.00107675
16,573.83,0.60922,0.46291,0.95989,0.9559,0.95801,0.98432,0.83566,0.62456,0.39135,0.93234,0.00106437,0.00106437,0.00106437
17,608.739,0.60133,0.46003,0.95669,0.91349,0.90484,0.90122,0.77417,0.60011,0.62422,0.91463,0.001052,0.001052,0.001052
18,643.83,0.59796,0.45297,0.94889,0.96748,0.9695,0.98659,0.83628,0.61309,0.36898,0.92165,0.00103962,0.00103962,0.00103962
19,678.681,0.60126,0.45827,0.95215,0.92464,0.92742,0.95882,0.80921,0.65271,0.43898,0.94468,0.00102725,0.00102725,0.00102725
20,713.792,0.58957,0.44262,0.94671,0.98798,0.988,0.994,0.84284,0.62269,0.32411,0.93385,0.00101488,0.00101488,0.00101488
21,748.672,0.58945,0.44144,0.94614,0.92211,0.96621,0.98802,0.82995,0.63684,0.4035,0.94872,0.0010025,0.0010025,0.0010025
22,783.63,0.58514,0.42955,0.94095,0.97465,0.98352,0.99264,0.83789,0.63373,0.33463,0.9423,0.000990125,0.000990125,0.000990125
23,818.998,0.58064,0.42382,0.94186,0.98147,0.98236,0.99208,0.83963,0.63349,0.32921,0.93547,0.00097775,0.00097775,0.00097775
24,854.69,0.57261,0.42288,0.93432,0.98847,0.98866,0.99412,0.84873,0.60983,0.30022,0.92477,0.000965375,0.000965375,0.000965375
25,889.477,0.57715,0.42456,0.94049,0.98342,0.987,0.99356,0.83696,0.6402,0.33159,0.94926,0.000953,0.000953,0.000953
26,924.48,0.56924,0.41646,0.93426,0.94779,0.94396,0.97752,0.83176,0.61233,0.43246,0.93161,0.000940625,0.000940625,0.000940625
27,959.409,0.57406,0.41468,0.94046,0.99009,0.99304,0.99431,0.846,0.62019,0.29853,0.93122,0.00092825,0.00092825,0.00092825
28,994.437,0.57041,0.41306,0.93488,0.97376,0.96126,0.99192,0.83796,0.62925,0.34713,0.92969,0.000915875,0.000915875,0.000915875
29,1031.94,0.56548,0.40557,0.93313,0.95577,0.96229,0.9771,0.83157,0.60317,0.38787,0.92437,0.0009035,0.0009035,0.0009035
30,1070.16,0.5623,0.39809,0.9335,0.98292,0.9939,0.9939,0.8435,0.63157,0.30181,0.94201,0.000891125,0.000891125,0.000891125
31,1110.33,0.55258,0.39779,0.93041,0.98922,0.97517,0.99172,0.84656,0.61039,0.30359,0.92121,0.00087875,0.00087875,0.00087875
32,1157.24,0.54837,0.39581,0.92765,0.98526,0.98797,0.99347,0.84477,0.61674,0.29925,0.93357,0.000866375,0.000866375,0.000866375
33,1206.87,0.55773,0.38842,0.93235,0.99424,0.99193,0.99406,0.84757,0.60435,0.28889,0.92983,0.000854,0.000854,0.000854
34,1254.66,0.55693,0.38766,0.92963,0.98178,0.9799,0.99317,0.85098,0.59874,0.30446,0.91304,0.000841625,0.000841625,0.000841625
